Association_ID,vVirusNameCorrected,hHostNameFinal,Previous_ID,WildDomInReference,DetectionMethod,DetectionQuality02,FINAL_ref,Mendeley_Endnote,input_date
F175,Yellow_fever_virus,Alouatta_caraya,NW1026,wild,Antibodies,0,Vasconcelos et al. 2003,E,v30
OIE63,Vesicular_stomatitis_Indiana_virus,Alouatta_palliata,,wild,Antibodies,0,Nisbett 2003,OIE,v30
F1121,Yellow_fever_virus,Alouatta_palliata,MP328,wild,Antibodies,0,Galindo and Srihongse 1967,M,v30
F1597,St._Louis_encephalitis_virus,Alouatta_pigra,NA,wild,Antibodies,0,Seymour et al. 1989,NA,v30
OIE64,Vesicular_stomatitis_Indiana_virus,Alouatta_pigra,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
F439,Mayaro_virus,Alouatta_seniculus,NW626,wild ,Antibodies,0,de Thoisy et al. 2003,M,v30
F443,Modoc_virus,Ammospermophilus_nelsoni,NW644,wild,Antibodies,0,Hardy et al. 1974,M,v30
F522,St._Louis_encephalitis_virus,Ammospermophilus_nelsoni,NW895,wild,Antibodies,0,Hardy et al. 1974,M,v30
F616,Western_equine_encephalitis_virus,Ammospermophilus_nelsoni,NW1002,wild,Isolation,2,Hardy et al. 1974,M,v30
F481,Bluetongue_virus,Ammotragus_lervia,NW77,wild,Antibodies,0,Ruiz-Fons et al. 2008,M,v30
OIE47,Bovine_herpesvirus_1,Ammotragus_lervia,,wild,CF,0,Hampy et al. 1979 ,OIE,v30
F1138,Bimiti_virus,Anoura_geoffroyi,L248,wild,Antibodies,0,Price 1978,M,v30
F1151,Catu_virus,Anoura_geoffroyi,L291,wild,Antibodies,0,Price 1978,M,v30
Luis080,Dengue_virus,Anoura_geoffroyi,,wild,Antibodies,0,Price 1978,arw,arw
F1193,Guama_virus,Anoura_geoffroyi,L482,wild,Antibodies,0,Price 1978,M,v30
Luis142,Ilheus_virus,Anoura_geoffroyi,,wild,Antibodies,0,Price 1978,,v30
Luis314,Rio_Bravo_virus,Anoura_geoffroyi,,wild,Antibodies,0,[364],,v30
F559,St._Louis_encephalitis_virus,Anoura_geoffroyi,NW940,wild,Antibodies,0,Price 1978,M,v30
Luis344,Tamana_bat_virus,Anoura_geoffroyi,,wild,Antibodies,0,Price 1978,,v30
OIE25,Bovine_viral_diarrhea_virus_1,Antidorcas_marsupialis,,wild,SNT,1,Hamblin and Hedger 1979,OIE,v30
F268,Crimean-Congo_hemorrhagic_fever_virus,Antidorcas_marsupialis,NW260,wild,Antibodies,0,Shepherd et al. 1987,M,v30
KJO132,Foot-and-mouth_disease_virus,Antidorcas_marsupialis,,wild,Antibodies,0,"Falconer and Child, 1975; From Weaver and Karesh In Press",kjo,v30
LM106,Lumpy_skin_disease_virus,Antidorcas_marsupialis,LM106,wild,Antibodies,0,Hedger et al. 1983,E,v30
,Rift_Valley_fever_virus,Antidorcas_marsupialis,,wild,PCR,2,"Capobianco Dondona, A. 2016",,kjo
F486,Bluetongue_virus,Antilocapra_americana,NW78,wild,Antibodies,0,"Dubay, Rosenstock et al. 2006",M,v30
KJO434,Bovine_parainfluenza_virus_3,Antilocapra_americana,,wild,Antibodies,0,"Dunbar MR, Velarde R, Gregg MA, Bray M. Health evaluation of a pronghorn antelope population in Oregon. J Wildl Dis. 1999 Jul;35(3):496-510. PubMed PMID: 10479084.",kjo,v30
OIE26,Bovine_viral_diarrhea_virus_1,Antilocapra_americana,,wild,SNT,1,Barrett and Chalmers 1975,OIE,v30
F322,Epizootic_hemorrhagic_disease_virus,Antilocapra_americana,NW336,wild,Antibodies,0,"Dubay, Rosenstock et al. 2006",M,v30
F159,St._Louis_encephalitis_virus,Antilocapra_americana,NW896,wild,Antibodies,0,Williams et al. 2001,M,v30
OIE65,Vesicular_stomatitis_Indiana_virus,Antilocapra_americana,,wild,SNT,1,Webb et al. 1987,OIE,v30
F488,Bluetongue_virus,Antilope_cervicapra,NW79,wild,Antibodies,0,Bhat et al. 1998,"E, requested",v30
F323,Epizootic_hemorrhagic_disease_virus,Antilope_cervicapra,NW337,wild,Antibodies,0,Williams et al. 2001,M,v30
KJO131,Foot-and-mouth_disease_virus,Antilope_cervicapra,,wild,Isolation,2,Kar et al. 1983; Hegde et al. 2011; from Weaver and Karesh In Press,kjo,v30
F1277,Rabies_virus,Antrozous_pallidus,L871,wild,PCR,2,Blanton et al. 2008,M,v30
F121,Measles_virus,Aotus_azarae,V1224,wild,Antibodies,0,O'Brien et al. 1981,M,v30
F659,Encephalomyocarditis_virus,Aotus_trivirgatus,NW310,wild,Isolation,2,Roca-Garcia 1957,NA,v30
KJO284,GB_virus_A,Aotus_trivirgatus,,wild,PCR,2,"Bukh, J. & Apgar, C. L. (1997). Five new or recently discovered (GBVA) virus species are indigenous to New World monkeys and may constitute a separate genus of the Flaviviridae. Virology 229, 429_436.",kjo,v30
KJO278,GB_virus_B,Aotus_trivirgatus,,captive,Isolation,2,"Bukh, J., Apgar, C. L., Govindarajan, S. & Purcell, R. H. (2001a). Host range studies of GB virus-B hepatitis agent, the closest relative of hepatitis C virus, in New World monkeys and chimpanzees. J Med Virol 65, 694_697.",kjo,v30
,Hepatitis_A_virus,Aotus_trivirgatus,,captive,Antibodies,0,Lemon et al. 1982,arw,arw
F1067,Hepatitis_A_virus,Aotus_trivirgatus,MP876,wild,Antibodies,0,Lemon et al. 1982,E,v30
F597,Measles_virus,Aotus_trivirgatus,NW628,wild,Isolation,2,Fowler & Miller. 2003,B,v30
LM192,Torque_Teno_virus,Aotus_trivirgatus,LM192,wild,PCR,2,Catroxo et al. 2008,E,v30
OIE66,Vesicular_stomatitis_Indiana_virus,Aotus_trivirgatus,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
F1122,Yellow_fever_virus,Aotus_trivirgatus,MP336,wild,Antibodies,0,Seymour et al. 1983,M,v30
Luis042,California_encephalitis_virus,Apodemus_agrarius,,wild,Antibodies,0,Mitchell et al. 1993,arw,arw
Luis457,Dobrava-Belgrade_virus,Apodemus_agrarius,,wild,Isolation,2,Plyusnin 2002,,v30
Luis458,Hantaan_virus,Apodemus_agrarius,,wild,Isolation,2,"Acha & Szyfres 2003, Lee et al. 1978",,v30
Luis194,Lymphocytic_choriomeningitis_virus,Apodemus_agrarius,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
Luis362,Tick-borne_encephalitis_virus,Apodemus_agrarius,,wild,Isolation,2,Golovljova et al. 2004,,v30
KJO150,Apoi_virus,Apodemus_argenteus,,wild,Isolation,2,"Karabatsos, N. (1995). International Catalogue of Arboviruses including Certain Other Viruses of Vertebrates. San Antonio\Fort Collins: American Society of Tropical Medicine and Hygiene. ",kjo,v30
Luis069,Cowpox_virus,Apodemus_flavicollis,,wild,Antibodies,0,Acha & Szyfres 2003; Essbauer & Meyer 2007; Essbauer et al. 2009,,v30
LM030,Dobrava-Belgrade_virus,Apodemus_flavicollis,LM030,wild,Isolation,2,Avsic-Zupanc et al. 1992,E,v30
Luis189,Ljungan_virus,Apodemus_flavicollis,,wild,PCR,2,Hauffe et al. 2010,,kjo
Luis195,Lymphocytic_choriomeningitis_virus,Apodemus_flavicollis,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
Luis229,Murid_herpesvirus_1,Apodemus_flavicollis,,wild,Isolation,2,Mistrikova & Blaskovis 1985,,v30
Luis234,Murid_herpesvirus_2,Apodemus_flavicollis,,wild,PCR,2,Ehlers et al. 2007,arw,v30
Luis241,Murid_herpesvirus_4,Apodemus_flavicollis,,wild,Isolation,2,"[196, Ehlers et al. 2007] ",,v30
KJO177,Thiafora_virus,Apodemus_flavicollis,,wild,Antibodies,0,"Woessner et al. 2000, Infection. 2000 May-Jun;28(3):164-6. ""The Erve virus: possible mode of transmision and reservoir"".",kjo,v30
Luis363,Tick-borne_encephalitis_virus,Apodemus_flavicollis,,wild,Isolation,2,Acha & Szyfres 2003; Kozch et al. 1995,,v30
Luis196,Lymphocytic_choriomeningitis_virus,Apodemus_mystacinus,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
F46,Hantaan_virus,Apodemus_peninsulae,V978,wild,Isolation,2,Wang et al. 2000,M,v30
KJO149,Apoi_virus,Apodemus_speciosus,,wild,Isolation,2,"Karabatsos, N. (1995). International Catalogue of Arboviruses including Certain Other Viruses of Vertebrates. San Antonio\Fort Collins: American Society of Tropical Medicine and Hygiene. ",kjo,v30
Luis043,California_encephalitis_virus,Apodemus_sylvaticus,,wild,Antibodies,0,Mitchell et al. 1993,arw,arw
Luis481,Cowpox_virus,Apodemus_sylvaticus,,wild,PCR,2,Acha & Szyfres 2003; Chantrey et al. 1999,,v30
Luis109,Ectromelia_virus,Apodemus_sylvaticus,,wild,Antibodies,0,Kaplan et al. 1980,arw,arw
Luis111,Encephalomyocarditis_virus,Apodemus_sylvaticus,,wild,Antibodies,0,Kaplan et al. 1980,arw,arw
Luis124,Eyach_virus,Apodemus_sylvaticus,,wild,Isolation,2,Chastel et al. 1985 ,arw,arw
,Ljungan_virus,Apodemus_sylvaticus,,wild,PCR,2,Salisbury AM et al. 2014,,kjo
Luis192,Louping_ill_virus,Apodemus_sylvaticus,,wild,Antibodies,0,Gilbert et al. 2000,,kjo
F1502,Lymphocytic_choriomeningitis_virus,Apodemus_sylvaticus,,wild,PCR,2,Ledesma et al. 2009,E,kjo
Luis230,Murid_herpesvirus_1,Apodemus_sylvaticus,,wild,PCR,2,Mistrikova & Blaskovis 1985,,v30
Luis235,Murid_herpesvirus_2,Apodemus_sylvaticus,,wild,PCR,2,Ehlers et al. 2007,arw,v30
LM212,Murid_herpesvirus_4,Apodemus_sylvaticus,,wild,PCR,2,"Blasdell K, McCracken C, Morris A, Nash AA, Begon M, Bennett M, Stewart JP. The wood mouse is a natural host for Murid herpesvirus 4. J Gen Virol. 2003 Jan;84(Pt 1):111-3. PubMed PMID: 12533706.",LM,v30
KJO271,Murine_norovirus_1,Apodemus_sylvaticus,,wild,PCR,2,"Smith, D. B., N. McFadden, R. J. Blundell, A. Meredith, and P. Simmonds. 2012. Diversity of murine norovirus in wild-rodent populations: species-specific associations suggest an ancient divergence. Journal of General Virology 93:259-266.",kjo,v30
Luis252,Murine_pneumonia_virus,Apodemus_sylvaticus,,wild,Antibodies,0,Kaplan et al. 1980,,v30
Luis281,Rabbit_hemorrhagic_disease_virus,Apodemus_sylvaticus,,wild,PCR,2,[231],,v30
Luis334,Sendai_virus,Apodemus_sylvaticus,,wild,Antibodies,0,Kaplan et al. 1980,arw,v30
Luis356,Theilovirus,Apodemus_sylvaticus,,wild,Antibodies,0,Kaplan et al. 1980,,v30
KJO176,Thiafora_virus,Apodemus_sylvaticus,,wild,Antibodies,0,"Woessner et al. 2000, Infection. 2000 May-Jun;28(3):164-6. ""The Erve virus: possible mode of transmision and reservoir"".",kjo,v30
Luis364,Tick-borne_encephalitis_virus,Apodemus_sylvaticus,,wild,Isolation,2,Kozuch et al. 1995,,v30
F1605,Uukuniemi_virus,Apodemus_sylvaticus,NA,wild,Antibodies,0,Traavik et al. 1977,E,v30
Luis370,Tula_virus,Apodemus_uralensis,,wild,antigen,0,Heroldova et al. 2010,,v30
F397,Influenza_A_virus,Arctocephalus_australis,NW548,wild,Antibodies,0,Blanc et al. 2009,M,v30
Luis081,Dengue_virus,Artibeus_cinereus,,wild,Antibodies,0,Price 1978,arw,arw
F1634,Ilheus_virus,Artibeus_cinereus,NA,wild,Antibodies,0,Price et al. 1978,M,v30
F1253,Rabies_virus,Artibeus_cinereus,L767,wild,Antibodies,0,Price and Everard 1977,M,v30
F177,Yellow_fever_virus,Artibeus_cinereus,NW1032,wild,Antibodies,0,Price 1978,M,v30
F1256,Rabies_virus,Artibeus_fimbriatus,L778,wild,Isolation,2,Cunha et al. 2005,M,v30
F1159,Dengue_virus,Artibeus_jamaicensis,L337,wild,PCR,2,Aguilar-Setien et al. 2008,M,v30
F1172,Eastern_equine_encephalitis_virus,Artibeus_jamaicensis,L360,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F1635,Ilheus_virus,Artibeus_jamaicensis,NA,wild,Antibodies,0,Price et al. 1978,M,v30
F1232,Marituba_virus,Artibeus_jamaicensis,L676,wild,Isolation,2,Calisher et al. 2006,M,v30
Luis459,Rabies_virus,Artibeus_jamaicensis,,wild,Isolation,2,Price and Everard 1977,arw,v30
F1293,Rio_Bravo_virus,Artibeus_jamaicensis,L953,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F524,St._Louis_encephalitis_virus,Artibeus_jamaicensis,NW898,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F804,Tacaribe_virus,Artibeus_jamaicensis,NW944,wild,Isolation,2,Abraham et al. 2009,M,v30
Luis345,Tamana_bat_virus,Artibeus_jamaicensis,,wild,Antibodies,0,Price 1978,,v30
F1326,Venezuelan_equine_encephalitis_virus,Artibeus_jamaicensis,L1065,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F1333,Vesicular_stomatitis_Indiana_virus,Artibeus_jamaicensis,L1103,wild,Antibodies,0,Ubico & McClean 1995,M,v30
F1337,Vesicular_stomatitis_New_Jersey_virus,Artibeus_jamaicensis,L1138,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F1349,Western_equine_encephalitis_virus,Artibeus_jamaicensis,L1185,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F178,Yellow_fever_virus,Artibeus_jamaicensis,NW1033,wild,Antibodies,0,Price 1978,M,v30
F1148,Caraparu_virus,Artibeus_lituratus,L287,wild,Antibodies,0,Geevarghesse & Banerjee 1990,E,v30
Luis082,Dengue_virus,Artibeus_lituratus,,wild,Antibodies,0,Price 1978,,arw
F1631,Eastern_equine_encephalitis_virus,Artibeus_lituratus,NA,wild,Antibodies,0,Ubico & McLean et al. 1995,M,v30
Luis127,Guama_virus,Artibeus_lituratus,,wild,Antibodies,0,[321],,v30
Luis143,Ilheus_virus,Artibeus_lituratus,,wild,Antibodies,0,Price 1978,,v30
F1199,Itaporanga_virus,Artibeus_lituratus,L557,wild,Antibodies,0,Geevarghese & Banerjee  1990,E,v30
F1204,Jurona_virus,Artibeus_lituratus,L580,wild,Antibodies,0,Geevarghese & Banerjee  1990,E,v30
F1233,Marituba_virus,Artibeus_lituratus,L679,wild,Isolation,2,Calisher et al. 2006,M,v30
F1240,Oriboca_virus,Artibeus_lituratus,L715,wild,Antibodies,0,Price 1978,M,v30
F1323,Oropouche_virus,Artibeus_lituratus,L1052,wild,Antibodies,0,Geevarghese & Banerjee 1990,E,v30
F1268,Rabies_virus,Artibeus_lituratus,L824,wild,Isolation,2,Kobayashi et al. 2005,M,v30
F1295,Rio_Bravo_virus,Artibeus_lituratus,L959,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F523,St._Louis_encephalitis_virus,Artibeus_lituratus,NW897,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F20,Tacaribe_virus,Artibeus_lituratus,V1759,wild,Isolation,2,Calisher et al. 2006,M,v30
F1328,Venezuelan_equine_encephalitis_virus,Artibeus_lituratus,L1079,wild,Antibodies,0,Seymour et al. 1978,M,v30
F1334,Vesicular_stomatitis_Indiana_virus,Artibeus_lituratus,L1110,wild,Antibodies,0,Ubico & McClean 1995,M,v30
F1350,Western_equine_encephalitis_virus,Artibeus_lituratus,L1186,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F179,Yellow_fever_virus,Artibeus_lituratus,NW1034,wild,Antibodies,0,Price 1978,M,v30
Luis283,Rabies_virus,Artibeus_phaeotis,,wild,Antibodies,0,Salas-Rojas et al. 2004,arw,arw
F1297,Rio_Bravo_virus,Artibeus_phaeotis,L963,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F528,St._Louis_encephalitis_virus,Artibeus_phaeotis,NW900,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F816,Venezuelan_equine_encephalitis_virus,Artibeus_phaeotis,NW975,wild,Isolation,2,Calisher et al. 2006,M,v30
F1335,Vesicular_stomatitis_Indiana_virus,Artibeus_phaeotis,L1117,wild,Antibodies,0,Ubico & McClean 1995,M,v30
F1339,Vesicular_stomatitis_New_Jersey_virus,Artibeus_phaeotis,L1159,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F1281,Rabies_virus,Artibeus_planirostris,L885,wild,Isolation,2,Kobayashi et al. 2007,M,v30
F1301,Rio_Bravo_virus,Artibeus_toltecus,L968,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F806,Tacaribe_virus,Artibeus_toltecus,NW946,wild,Isolation,2,Abraham et al. 2009,M,v30
F723,Ippy_virus,Arvicanthis_neumanni,NW565,wild,Isolation,2,Meunier et al. 1985,M,v30
Luis019,Arumowot_virus,Arvicanthis_niloticus,,wild,isolation,2,Kemp et al. 1974,arw,arw
Luis033,Bunyamwera_virus,Arvicanthis_niloticus,,wild,Isolation,2,Monath et al. 1972; Henderson et al. 1972,,v30
LM083,Ife_virus,Arvicanthis_niloticus,LM083,wild,Antibodies,0,Ezefeika et al. 1988,E,v30
F722,Ippy_virus,Arvicanthis_niloticus,NW564,wild,Isolation,2,Meunier et al. 1985,M,v30
F425,Lassa_virus,Arvicanthis_niloticus,NW602,wild,Antibodies,0,Gonzalez et al. 2007 ,E,v30
Luis275,Qalyub_virus,Arvicanthis_niloticus,,wild,Isolation,2,[229],,v30
F484,Rift_Valley_fever_virus,Arvicanthis_niloticus,NW776,wild,Antibodies,0,Gora et al. 2000,M,v30
Luis322,Saboya_virus,Arvicanthis_niloticus,,wild,Isolation,2,Fontenille et al. 1994; Saluzzo et al. 1986; Grard et al. 2010,arw,v30
Luis373,Uganda_S_virus,Arvicanthis_niloticus,,wild,Isolation,2,Kemp 1975; Kemp et al. 1974,,v30
Luis399,West_Nile_virus,Arvicanthis_niloticus,,wild,Isolation,2,Hubalek & Halouzka 1999,,v30
Luis425,Witwatersrand_virus,Arvicanthis_niloticus,,wild,Isolation,2,Monath et al. 1972,,v30
F755,Omsk_hemorrhagic_fever_virus,Arvicola_amphibius,NW685,wild,Isolation,2,Calisher et al. 2006,M,v30
KJO253,Tula_virus,Arvicola_amphibius,,wild,PCR,2,"Schlegel M, Kindler E, Essbauer SS, Wolf R, Thiel J, Groschup MH, Heckel G, Oehme RM, Ulrich RG. Tula virus infections in the Eurasian water vole in Central Europe. Vector Borne Zoonotic Dis. 2012 Jun;12(6):503-13. doi: 10.1089/vbz.2011.0784. Epub 2012 Jan 6. PubMed PMID: 22225425.",kjo,v30
Luis070,Cowpox_virus,Arvicola_scherman,,wild,Antibodies,0,Charbonnel et al. 2008,arw,arw
Luis197,Lymphocytic_choriomeningitis_virus,Arvicola_scherman,,wild,Antibodies,0,Tagliapietra et al. 2009,,kjo
F456,Bhanja_virus,Atelerix_albiventris,NW69,wild,Antibodies,0,Hubalek 2009,M,v30
,Chandipura_virus,Atelerix_albiventris,,wild,Isolation,2,Kemp GE 1975,,kjo
LM096,Kotonkan_virus,Atelerix_albiventris,LM096,wild,Antibodies,0,Kemp et al.1973,E,v30
F1443,Semliki_Forest_virus,Atelerix_albiventris,NW830,wild,Isolation,2,CDC ArboCat Report,arw,arw
KJO080,Ateline_herpesvirus_1,Ateles_geoffroyi,,captive,isolation,2,Hull et al. 1972,kjo,v30
F717,Ateline_herpesvirus_2,Ateles_geoffroyi,NW55,wild,Isolation,2,Melendez et al. 1992,,v30
F795,St._Louis_encephalitis_virus,Ateles_paniscus,NW901,wild,Isolation,2,Sabattini et al. 1965,M,v30
F943,Rabies_virus,Atilax_paludinosus,NW746,wild,PCR,2,van Zyl et al. 2010,E,v30
F592,Bluetongue_virus,Axis_axis,NW84,wild,Antibodies,0,Bhat et al. 1998,"E, requested",v30
F324,Epizootic_hemorrhagic_disease_virus,Axis_axis,NW338,domestic,Antibodies,0,Waldrup et al. 1989,M,v30
F704,Foot-and-mouth_disease_virus,Axis_axis,NW448,domestic,Isolation,2,"http://wildlife1.wildlifeinformation.org/S/virus/picornaviridae/picornaviridae_fmdvirus/FMDVSppDefinitiveHost.html, Primary Reference Unavailable Kar, B.C 1983 Occurrence of foot-and-mouht disease among some wild ungulates in captivity, 59: 227",W,v30
Luis001,Amapari_virus,Baiomys_taylori,,wild,Antibodies,0,Milazzo et al. 2010,arw,arw
Luis026,Bayou_virus,Baiomys_taylori,,wild,Antibodies,0,Holsomback et al. 2009,arw,arw
OIE128,Vesicular_stomatitis_Indiana_virus,Baiomys_taylori,,wild,plaque reduction neutralization,1,Aguirre et al. 1992,OIE,v30
F398,Influenza_A_virus,Balaenoptera_acutorostrata,NW549,wild,Antibodies,0,Ohishi et al. 2006,M,v30
F1611,Vesicular_exanthema_of_swine_virus,Balaenoptera_borealis,NA,wild,Antibodies,0,Smith et al. 1978,"M, requested",v30
F1610,Vesicular_exanthema_of_swine_virus,Balaenoptera_physalus,NA,wild,Antibodies,0,Smith et al. 1978,"M, requested",v30
Luis140,Hepatitis_E_virus,Bandicota_bengalensis,,wild,Antibodies,0,Arankalle et al. 2001,,v30
F426,Lassa_virus,Bandicota_indica,NW603,wild,Antibodies,0,Nitatpattana et al. 2000,M,v30
Luis236,Murid_herpesvirus_2,Bandicota_indica,,wild,PCR,2,Ehlers et al. 2007,arw,v30
Luis242,Murid_herpesvirus_4,Bandicota_indica,,wild,PCR,2,Ehlers et al. 2007,arw,v30
KJO175,Thailand_virus,Bandicota_indica,,wild,Isolation,2,Elwell et al. 1985. South East Asian J. Trop. Med. Public Health 16: 349-354,kjo,v30
F427,Lassa_virus,Bandicota_savilei,NW604,wild,Antibodies,0,Nitatpattana et al. 2000,M,v30
KJO251,Thailand_virus,Bandicota_savilei,,wild,Antibodies,0,"Pattamadilok S, Lee BH, Kumperasart S, Yoshimatsu K, Okumura M, Nakamura I, Araki K, Khoprasert Y, Dangsupa P, Panlar P, Jandrig B, Kr_ger DH, Klempa B, J_kel T, Schmidt J, Ulrich R, Kariwa H, Arikawa J. Geographical distribution of hantaviruses in Thailand and potential human health significance of Thailand virus. Am J Trop Med Hyg. 2006 Nov;75(5):994-1002. PubMed PMID: 17124002.",kjo,v30
