"","sourceOccurrenceId","sourceTaxonId","sourceTaxonName","sourceTaxonOrder","sourceTaxonFamily","sourceTaxonGenus","sourceBodyPartId","sourceBodyPartName","sourceLifeStageId","sourceLifeStageName","interactionTypeId","interactionTypeName","targetOccurrenceId","targetTaxonId","targetTaxonName","targetTaxonOrder","targetTaxonFamily","targetTaxonGenus","targetBodyPartId","targetBodyPartName","targetLifeStageId","targetLifeStageName","localityId","localityName","decimalLatitude","decimalLongitude","observationDateTime","referenceDoi","referenceUrl","referenceCitation"
"18","","","Rinderpest virus","Mononegavirales","Paramyxoviridae","Morbillivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aepyceros melampus","CETARTIODACTYLA","BOVIDAE","Aepyceros","","","","","","","","","","","","Rutebarika CS, Nantima N, Ademun RO, Okori J, Kalema G, and Kock R (2005). Rinderpest surveillance in Uganda National Parks 1998-2003. Iucn-World Conservation Union, Gland."
"19","","","Witwatersrand virus","Unassigned","Bunyaviridae","Unassigned","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aethomys kaiseri","RODENTIA","MURIDAE","Aethomys","","","","","","","","","","","","Henderson B, McCrae A, Kirya B, Ssenkubuge Y, and Sempala S (1972). Arbovirus epizootics involving man, mosquitoes and vertebrates at Lunyo, Uganda 1968. Annals of Tropical Medicine and Parasitology 66(3):343-355."
"20","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aethomys namaquensis","RODENTIA","MURIDAE","Aethomys","","","","","","","","","","","","Shepherd AJ, Swanepoel R, Shepherd SP, McGillivray GM, and Searle LA (1987). Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa. The American Journal of Tropical Medicine and Hygiene 36:133-142."
"21","","","Rift Valley fever virus","Unassigned","Bunyaviridae","Phlebovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Aethomys namaquensis","RODENTIA","MURIDAE","Aethomys","","","","","","","","","","","","Pretorius A, Oelofsen MJ, Smith MS, and van der Ryst E (1997). Rift Valley fever virus: A seroepidemiologic study of small terrestrial vertebrates in South Africa. American Journal of Tropical Medicine and Hygiene 57:693-698."
"22","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon azarae","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","Chu YK, Owen RD, Gonzalez LM, and Jonsson CB (2003). The complex ecology of hantavirus in Paraguay. American Journal of Tropical Medicine and Hygiene 69:263-268."
"23","","","Junin virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon azarae","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"24","","","Pixuna virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon azarae","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","Pisano MB, Torres C, R_ VE, FarÕas AA, Seco MPS, Tenorio A, et al. (2014). Genetic and evolutionary characterization of Venezuelan equine encephalitis virus isolates from Argentina. Infection, Genetics and Evolution 26:72-79."
"25","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon montensis","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","Chu YK, Owen RD, Gonzalez LM, and Jonsson CB (2003). The complex ecology of hantavirus in Paraguay. American Journal of Tropical Medicine and Hygiene 69:263-268."
"26","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon montensis","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","",NA
"27","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon paranaensis","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","de Oliveira RC, Padula PJ, Gomes R, Martinez VP, Bellomo C, Bonvicino CR, et al. (2011). Genetic Characterization of Hantaviruses Associated with Sigmodontine Rodents in an Endemic Area for Hantavirus Pulmonary Syndrome in Southern Brazil. Vector-Borne and Zoonotic Diseases 11:301-314."
"28","","","Laguna Negra virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon simulator","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","Levis S, Garcia J, Pini N, CalderÑn G, RamÕrez J, Bravo D, et al. (2004). Hantavirus pulmonary syndrome in northwestern Argentina: circulation of Laguna Negra virus associated with Calomys callosus. The American journal of tropical medicine and hygiene 71:658-663."
"29","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Akodon varius","RODENTIA","CRICETIDAE","Akodon","","","","","","","","","","","","Sosa-Estani S, Martinez VP, Delta Valle MG, Edelstein A, Miguel S, Padula PJ, et al. (2002). Hantavirus in human and rodent populations in an endemic area for hantavirus pulmonary syndrome in Argentina. Medicina-Buenos Aires 62:1-8."
"30","","","Akabane virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Davies FG, and Jessett DM (1985). A study of the host range and distribution of antibody to Akabane virus (genus bunyavirus, family Bunyaviridae) in Kenya. The Journal of Hygiene 95:191-196."
"31","","","Alcelaphine herpesvirus 2","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Reid HW and Rowe L (1973). The attenuation of a herpes virus (malignant catarrhal fever virus) isolated from hartebeest (Alcelaphus buselaphus cokei Gunther). Research in veterinary science 15:144-146."
"32","","","Bluetongue virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Hamblin C, Anderson EC, Jago M, Mlengeya T, and Hirji K (1990). Antibodies of Some Pathogenic Agents in Free-Living Wild Species in Tanzania. Epidemiology and infection 105:585-594."
"33","","","Bovine viral diarrhea virus 1","Unassigned","Flaviviridae","Pestivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Hamblin C, and Hedger RS (1979). The prevalence of antibodies to bovine viral diarrhoea/mucosal disease virus in African wildlife. Comparative Immunology, Microbiology and Infectious Diseases 2:295-303."
"34","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Shepherd AJ, Swanepoel R, Shepherd SP, McGillivray GM, and Searle LA (1987). Antibody to Crimean-Congo hemorrhagic fever virus in wild mammals from southern Africa. The American Journal of Tropical Medicine and Hygiene 36:133-142."
"35","","","Foot-and-mouth disease virus","Picornavirales","Picornaviridae","Aphthovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Ayebazibwe C, Mwiine FN, Tjornehoj K, Balinda SN, Muwanika VB, Okurut ARA, Belsham GJ, Normann P, Siegismund HR, Alexandersen S. (2010). The role of African buffalos (syncerus caffer) in the maintenance of foot-and-mouth disease in Uganda. BMC veterinary research 6."
"36","","","Ovine herpesvirus 2","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alcelaphus buselaphus","CETARTIODACTYLA","BOVIDAE","Alcelaphus","","","","","","","","","","","","Reid HW, Plowright W, and LW Rowe (1975). Neutralising antibody to herpesviruses derived from wildebeest and hartebeest in wild animals in East Africa. Research in Veterinary Science 18(3): 269-273."
"37","","","Bovine herpesvirus 1","Herpesvirales","Herpesviridae","Varicellovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alces alces","CETARTIODACTYLA","CERVIDAE","Alces","","","","","","","","","","","","Kocan AA, Franzmann AW, Waldrup KA, and Kubat GJ (1986). Serologic studies of select infectious diseases of moose (Alces alces L.) from Alaska. Journal of wildlife diseases 22:418-420."
"38","","","Bovine viral diarrhea virus 1","Unassigned","Flaviviridae","Pestivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alces alces","CETARTIODACTYLA","CERVIDAE","Alces","","","","","","","","","","","","Thorsen J, and Henderson JP (1971). Survey from antibody to infectious bovine rhinotracheitis (IBR), Bovine Virus diarrhea (BVD) and Parainfluenza 3 (PI3) in moose sera. . Journal of wildlife diseases 7:93-95."
"39","","","European elk papillomavirus","Unassigned","Papillomaviridae","Deltapapillomavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alces alces","CETARTIODACTYLA","CERVIDAE","Alces","","","","","","","","","","","","Moreno-Lopez J, Morner T, and Pettersson U (1986). Papillomavirus Dna Associated With Pulmonary Fibromatosis In European Elks. Journal of Virology 57:1173-1176."
"40","","","Ovine herpesvirus 2","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alces alces","CETARTIODACTYLA","CERVIDAE","Alces","","","","","","","","","","","","Vikoren T, Li H, Lillehaug A, Jonassen CM, Bockerman I, and Handeland K (2006). Malignant catarrhal fever in free-ranging cervids associated with OvHV-2 and CpHV-2 DNA. Journal of wildlife diseases 42:797-807."
"41","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alces alces","CETARTIODACTYLA","CERVIDAE","Alces","","","","","","","","","","","","Trainer DO, and Hoff GL (1971). Serologic evidence of arbovirus activity in a moose population in Alberta. Journal of wildlife diseases 7."
"42","","","Simian foamy virus","Unassigned","Retroviridae","Spumavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Allenopithecus nigroviridis","PRIMATES","CERCOPITHECIDAE","Allenopithecus","","","","","","","","","","","","Schweizer M, Turek R, Hahn H, Schliephake A, Netzer KO, Eder G, et al. (1995). Markers Of Foamy Virus-Infections In Monkeys, Apes, And Accidentally Infected Humans - Appropriate Testing Fails To Confirm Suspected Foamy Virus Prevalence In Humans. AIDS research and human retroviruses 11:161-170."
"43","","","Rabies virus","Mononegavirales","Rhabdoviridae","Lyssavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alopex lagopus","CARNIVORA","CANIDAE","Alopex","","","","","","","","","","","","Kuzmin I, Botvinkin AD, McElhinney LM, Smith JS, Orciari La, Hughes GJ, et al. (2004). Molecular epidemiology of terrestrial rabies in the former Soviet Union. Journal of wildlife diseases 40:617-631."
"44","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta caraya","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Contigiani MS, Fernandez C, Spinsanti LI, and Diaz GE (2000). Seroprevalence of flavivirus in Argentine autochthonous Alouatta caraya primates. Medicina-Buenos Aires 60:348-350."
"45","","","Una virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta caraya","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Diaz LA, Spinsanti LI, Almiron WR, and Contigiani MS (2003). UNA virus: first report of human infection in Argentina. Revista do Instituto de Medicina Tropical de Sao Paulo 45:109-110."
"46","","","Yellow fever virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta caraya","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Vasconcelos PFC, Sperb AF, Monteiro HAO, Torres MAN, Sousa MRS, Vasconcelos HB, et al. (2003). Isolations of yellow fever virus from Haemagogus leucocelaenus in Rio Grande do Sul State, Brazil. Transactions of the Royal Society of Tropical Medicine and Hygiene 97:60-62."
"47","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta palliata","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Nisbett RA (2003). Arbovirus surveillance in free-ranging howling monkeys, with a case study of the seroepidemiology of vesicular stomatitis virus. American journal of physical anthropology:158-159."
"48","","","Yellow fever virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta palliata","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Galindo P, and Srihongse S (1967). Evidence of recent jungle Yellow-Fever activity in Eastern Panama. Bulletin of the World Health Organization 36:151-161."
"49","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta pigra","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Seymour C, Peralta PH, and Montgomery GG (1983a). Serologic evidence of natural togavirus infections in Panamanian sloths and other vertebrates. The American journal of tropical medicine and hygiene 32:854-861."
"50","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta pigra","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","Tesh RB, Peralta PH, and Johnson KM (1969). Ecologic studies of vesicular stomatitis virus. I. Prevalence of infection among animals and humans living in an area of endemic VSV activity. American journal of epidemiology 90:255-261."
"51","","","Mayaro virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Alouatta seniculus","PRIMATES","ATELIDAE","Alouatta","","","","","","","","","","","","de Thoisy B, Gardon J, Salas RA, Morvan J, and Kazanji M (2003). Mayaro virus in wild mammals, French Guiana. Emerging infectious diseases 9:1326-1329."
"52","","","Modoc virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Ammospermophilus nelsoni","RODENTIA","SCIURIDAE","Ammospermophilus","","","","","","","","","","","","Hardy JL, Reeves WC, Scrivani RP, and Roberts DR (1974). Wild mammals as hosts of group A and group B arboviruses in Kern County, California. A five-year serologic and virologic survey. The American journal of tropical medicine and hygiene 23:1165-1177."
"53","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Ammospermophilus nelsoni","RODENTIA","SCIURIDAE","Ammospermophilus","","","","","","","","","","","","Hardy JL, Reeves WC, Scrivani RP, and Roberts DR (1974). Wild mammals as hosts of group A and group B arboviruses in Kern County, California. A five-year serologic and virologic survey. The American journal of tropical medicine and hygiene 23:1165-1177."
"54","","","Western equine encephalitis virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Ammospermophilus nelsoni","RODENTIA","SCIURIDAE","Ammospermophilus","","","","","","","","","","","","Hardy JL, Reeves WC, Scrivani RP, and Roberts DR (1974). Wild mammals as hosts of group A and group B arboviruses in Kern County, California. A five-year serologic and virologic survey. The American journal of tropical medicine and hygiene 23:1165-1177."
"55","","","Bluetongue virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Ammotragus lervia","CETARTIODACTYLA","BOVIDAE","Ammotragus","","","","","","","","","","","","Ruiz-Fons F, Reyes-Garcia AR, Alcaide V, and Gortazar C (2008). Spatial and Temporal Evolution of Bluetongue virus in wild ruminants, Spain. Emerging infectious diseases 14:2007-2009."
"56","","","Bovine herpesvirus 1","Herpesvirales","Herpesviridae","Varicellovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Ammotragus lervia","CETARTIODACTYLA","BOVIDAE","Ammotragus","","","","","","","","","","","","Hampy B, Pence DB, and Simpson CD (1979). Serological studies on sympatric Barbary sheep and mule deer from Palo Duro Canyon, Texas. Journal of wildlife diseases 15:443-446."
"57","","","Bimiti virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Serological evidence of infection of Tacaribe Virus and arboviruses in Trinidadian bats. American Journal Tropical Medicine and Hygiene 27:162-."
"58","","","Catu virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Serological evidence of infection of Tacaribe Virus and arboviruses in Trinidadian bats. American Journal Tropical Medicine and Hygiene 27:162-."
"59","","","Dengue virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Serological evidence of infection of Tacaribe Virus and arboviruses in Trinidadian bats. American Journal Tropical Medicine and Hygiene 27:162-."
"60","","","Guama virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Serological evidence of infection of Tacaribe Virus and arboviruses in Trinidadian bats. American Journal Tropical Medicine and Hygiene 27:162-."
"61","","","Ilheus virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Serological evidence of infection of Tacaribe Virus and arboviruses in Trinidadian bats. American Journal Tropical Medicine and Hygiene 27:162-."
"62","","","Rio Bravo virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Isolation Of Rio Bravo And A Hitherto Undescribed Agent, Tamana Bat Virus, From Insectivorous Bats In Trinidad, With Serological Evidence Of Infection In Bats And Man. American Journal of Tropical Medicine and Hygiene 27:153-161."
"63","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Anoura geoffroyi","CHIROPTERA","PHYLLOSTOMIDAE","Anoura","","","","","","","","","","","","Price JL (1978). Serological evidence of infection of Tacaribe Virus and arboviruses in Trinidadian bats. American Journal Tropical Medicine and Hygiene 27:162-."
