Species,cytb_size,GenbankAccession
Erinaceus_europaeus,422,AF109073
Erythrocebus_patas,NA,NA
Eschrichtius_robustus,825,EF165341.1
Euderma_maculatum,1143,JF489125.1
Eudorcas_thomsonii,1138,FJ556559.1
Eulemur_albifrons,1140,U53576.1
Eulemur_macaco,357,AJ428981.1
Eumetopias_jubatus,1140,FJ948490.1
Eumops_auripendulus,NA,NA
Eumops_glaucinus,705,EU350001.1
Eumops_patagonicus,NA,NA
Eumops_perotis,705,EU349991.1
Felis_caracal,NA,NA
Felis_catus,1140,AB004238.1
Felis_margarita,NA,NA
Felis_nigripes,NA,NA
Felis_silvestris,1140,EF689046
Funambulus_tristriatus,NA,NA
Funisciurus_anerythrus,NA,NA
Funisciurus_congicus,NA,NA
Galago_senegalensis,1140,AY441471.1
Galictis_cuja,1140,EF987754.1
Gazella_dorcas,1140,JF728768.1
Gazella_gazella,1143,AJ222682.1
Gazella_subgutturosa,1143,AF036282.1
Genetta_genetta,1140,AF511054
Genetta_maculata,1140,AF511055
Gerbilliscus_brantsii,1140,AM409392.1
Gerbilliscus_kempi,1140,AM409384.1
Gerbilliscus_leucogaster,1140,AM409391.1
Gerbilliscus_validus,NA,NA
Giraffa_camelopardalis,1764,EF442274
Glaucomys_volans,1140,AF157921.1
Glauconycteris_argentata,NA,NA
Glis_glis,NA,NA
Globicephala_melas,1140,AF084056.1
Glossophaga_commissarisi,1140,AF382885.1
Glossophaga_longirostris,1140,AF382875.1
Glossophaga_morenoi,1140,AF382882.1
Glossophaga_soricina,1140,FJ392516
Gorilla_beringei,NA,NA
Gorilla_gorilla,16364,NC_001645
Graomys_griseoflavus,1140,AY275117.1
Halichoerus_grypus,1140,GU167293.1
Handleyomys_alfaroi,1143,EU579488.1
Handleyomys_fuscatus,NA,NA
Heliosciurus_rufobrachium,402,HQ450778.1
Herpestes_sanguineus,1124,AF522331.1
Heteromys_anomalus,1140,GU646924.1
Hipposideros_abae,1140,EU934448
Hipposideros_armiger,1140,EU434946
Hipposideros_bicolor,1140,DQ054808.1
Hipposideros_caffer,1140,EU934464
Hipposideros_cineraceus,1140,DQ054809.1
Hipposideros_diadema,1140,DQ219421.1
Hipposideros_lankadiva,NA,NA
Hipposideros_larvatus,1140,EU434949.1
Hipposideros_pomona,1140,EU434950.1
Hipposideros_speoris,386,DQ680823.1
Hippotragus_equinus,1140,AF022060.1
Hippotragus_niger,1143,AF036285
Histiotus_montanus,NA,NA
Histiotus_velatus,NA,NA
Holochilus_sciureus,1143,EU579497.1
Homo_sapiens,1143,U09500
Hoplomys_gymnurus,1118,AF422922.1
Hydrochoerus_hydrochaeris,1140,GU136721.1
Hydromys_chrysogaster,1140,EU349749.1
Hydrurga_leptonyx,1140,AY377323.1
Hylaeamys_laticeps,1143,EU579498.1 
Hylaeamys_megacephalus,1143,EU579499.1
Hylobates_lar,1140,GU321329.1
Hylobates_moloch,1140,GU321297
Hylobates_pileatus,1140,GU321294
Hypsignathus_monstrosus,NA,NA
Hystrix_africaeaustralis,1238,X70674
Ichneumia_albicauda,1140,AF522341.1
Isoodon_macrourus,1146,AF139057
Kobus_ellipsiprymnus,1140,AF096625
Lagothrix_lagotricha,755,AY671799
Lama_glama,1140,U06429
Lama_pacos,1140,JF489132.1
Lasionycteris_noctivagans,528,L19723.1
Lasiurus_blossevillii,553,HM470164.1
Lasiurus_blossevillii,553,HM470164.1
Lasiurus_borealis,NA,NA
Lasiurus_cinereus,400,DQ421825.1
Lasiurus_ega,400,DQ421826.1
Lasiurus_egregius,NA,NA
Lasiurus_intermedius,NA,NA
Lasiurus_seminolus,NA,NA
Lasiurus_xanthinus,801,AF369549.1
Lemmus_lemmus,NA,NA
Lemmus_sibiricus,915,AJ012671.1
Lemniscomys_rosalia,1140,AF141209.1
Lemniscomys_striatus,838,DQ537271.1
Lemur_catta,1140,JF489136.1
Leontopithecus_chrysomelas,301,L44589.1
Leopardus_geoffroyi,NA,NA
Leopardus_pardalis,165,FJ490207.1
Leptonychotes_weddellii,1140,AY377324.1
Leptonycteris_curasoae,1140,GU175441.1 
Leptonycteris_nivalis,NA,NA
Lepus_americanus,1140,AY292733
Lepus_californicus,1140,HM222712
Lepus_capensis,1140,AY596969
Lepus_europaeus,1140,AY745113
Lepus_saxatilis,1140,AY292730
Lepus_timidus,1140,AY599076
Liomys_adspersus,1140,DQ168469.1
Lobodon_carcinophaga,1140,AY377321.1
Lonchophylla_robusta,1140,AF423091.1
Lonchorhina_aurita,1140,FJ155494.1
Lontra_canadensis,1140,AF057121.1
Lophocebus_albigena,267,AY204830.1
Lophostoma_brasiliense,1140,JF923842.1
Lophostoma_silvicolum,1140,JF923862.1
Lophuromys_flavopunctatus,1132,EU349754.1
Lophuromys_sikapusi,1141,AJ012023.1
Lophuromys_sikapusi ,1141,AJ012023.1
Loxodonta_africana,1140,X56285.1
Loxodontomys_micropus,1140,AY275122
Lutra_lutra,1140,AB564050.1
Lycaon_pictus,383,AF028147
Lynx_lynx,402,D28902.1
Lynx_pardinus,1140,EF689048.1
Lynx_rufus,1140,GU175436.1
Macaca_arctoides,1162,AY738634.2
Macaca_cyclopis,402,AJ304499.1
Macaca_fascicularis,1140,AF295584
Macaca_fuscata,NA,NA
Macaca_maura,859,AF350382.1
Macaca_mulatta,1140,U38272
Macaca_nemestrina,1140,EU204975
Macaca_nigra,859,AF350387.1
Macaca_ochreata,859,AF350400.1
Macaca_radiata,424,DQ859974
Macaca_silenus,859,AF350404.1
Macaca_sinica,NA,NA
Macaca_sylvanus,567,AY151088.1
Macaca_tonkeana,859,AF350406.1
Macroglossus_minimus,737,AY922771.1
Macropus_agilis,1146,EF368029.1
Macropus_fuliginosus,1146,JN003400.1
Macropus_giganteus,1146,EF368023.1
Macropus_parma,1146,EF368030.1
Macropus_robustus,1146,EF368025.1
Macropus_rufogriseus,1146,EF368026.1
Macropus_rufus,1146,JN967003.1
Macrotus_californicus,1140,AY380744.1
Madromys_blanfordi,NA,NA
Mandrillus_leucophaeus,472,EU939979.1
Mandrillus_sphinx,424,AF301612.1
Marmosa_murina,1146,HM106394.1
Marmota_flaviventris,791,HM050299.1
Marmota_monax,1140,AF157953.1
Martes_foina,1140,HQ386888.1
Martes_pennanti,1140,AF057131.1
Mastomys_coucha,1140,AF518335.1
Mastomys_erythroleucus,1140,FN393049.1
Mastomys_huberti,1111,EU311752.1
Mastomys_natalensis,1144,AY263612.1
Mazama_gouazoubira,1131,DQ379308.1
Megaderma_lyra,1140,DQ888678.1
Megadontomys_nelsoni,1143,HQ538496.1
Melanomys_caliginosus,NA,NA
Meles_meles,1140,HQ711951.1
Mellivora_capensis,1140,EF987755
Melogale_moschata,1140,AF498158.1
Mephitis_mephitis,1140,GU175440
Meriones_hurrianae,NA,NA
Meriones_libycus,1140,AJ851266.1
Mesocricetus_auratus,925,AJ973379
Metachirus_nudicaudatus,1149,U34671.1
Mico_leucippe,380,AF245059.1
Micromys_minutus,1140,AB201982.1
Micronycteris_megalotis,1140,DQ077429.1
Micropteropus_pusillus,402,AF044648
Microtus_agrestis,1143,AF119271.1
Microtus_arvalis,1143,FR865432.1
Microtus_californicus,1143,AF163891.1
Microtus_fortis,1143,JF906125.1 
Microtus_gregalis,1143,AY513803
Microtus_levis,NA,NA
Microtus_maximowiczii,1140,FJ986312.1
Microtus_ochrogaster,1143,DQ432006
Microtus_oeconomus,1140,FJ986326.1
Microtus_pennsylvanicus,1143,AF119279
Microtus_subterraneus,1143,FR869887.1
Millardia_meltada,1123,AF141221
Mimon_crenulatum,1140,FJ155478.1
Miniopterus_fuliginosus,1140,AB085735.1
Miniopterus_inflatus,525,AY614737.1
Miniopterus_schreibersii,1140,AF376830.2
Miopithecus_talapoin,NA,NA
Mirounga_leonina,1140,AY377326.1
Molossops_neglectus,NA,NA
Molossus_molossus,442,HM470183.1
Molossus_rufus,450,HM470179.1
Mormoops_megalophylla,402,AF144069.1
Mungos_mungo,1140,AY928674
Muntiacus_muntjak,1140,AF042717.1
Murina_aurata,NA,NA
Murina_leucogaster,1140,AB085733.1
Mus_booduga,1140,AB125760.1
Mus_cervicolor,1140,AB125766.1
Mus_musculus,1146,HM222709
Mus_setulosus,1194,GU830867.1
Mus_spicilegus,1145,AY057809.1
Mus_spretus,1145,AY057810.1
Mustela_lutreola,1140,AB026105.1
Mustela_nigripes,1140,EF987743.1
Myocastor_coypus,1140,EU544663.1
Myodes_gapperi,1143,AF272639.1
Myodes_glareolus,1143,AY309421.1
Myodes_regulus,NA,NA
Myodes_rufocanus,1143,AB712373.1
Myodes_rutilus,1143,JQ182088.1
Myonycteris_torquata,1140,FJ218483
Myotis_albescens,1140,AF376839.1
Myotis_austroriparius,1121,AM261885.1
Myotis_blythii,1140,AF376842.1
Myotis_californicus,758,AY460351.1
Myotis_chiloensis,1140,AM261888.1
Myotis_dasycneme,1140,AF376846.1
Myotis_daubentonii,1140,AY665137.1
Myotis_evotis,758,AY460344.1
Myotis_grisescens,1044,AM261892.1
Myotis_keenii,1011,AM262329.1
Myotis_leibii,1140,AM262331.1
Myotis_levis,1140,AF376853.1
Myotis_lucifugus,1140,AF376854
Myotis_macrodactylus,1140,AY665163.1
Myotis_myotis,1140,AF376860.1
Myotis_mystacinus,1140,AY665141.1
Myotis_nattereri,1140,AF376863.1
Myotis_nigricans,1140,AF376864.1
Myotis_pilosus,1140,EF530349.1
Myotis_riparius,1140,AF376866.1
Myotis_septentrionalis,719,AY883913.1
Myotis_thysanodes,1140,AF376869.1
Myotis_velifer,1140,EU680299.1
Myotis_volans,1140,AF376872.1
Myotis_yumanensis,1140,AF376875.1
Myrmecophaga_tridactyla,307,AY886758.1
Nanger_granti,1141,AF034723.1
Nasua_narica,1140,DQ660302
Natalus_stramineus,1140,AY621015.1
Natalus_tumidirostris,1140,AY621009.1
Neacomys_guianae,1140,FM210779
Neacomys_spinosus,1143,EU579504
Necromys_amoenus,1140,M35711.3
Necromys_benefactus,NA,NA
Necromys_lasiurus,1140,EF622509.1
Necromys_obscurus,801,EF531682.1
Nectomys_squamipes,1143,EU074634.1
Neotoma_albigula,1143,FJ716222
Neotoma_cinerea,1143,DQ179859
Neotoma_floridana,1143,DQ179821.1
Neotoma_fuscipes,1143,DQ781303
Neotoma_lepida,1143,DQ781256
Neotoma_macrotis,1143,DQ781304.1
Neotoma_stephensi,1143,DQ781305.1
Neovison_vison,1140,AB026109.1
Nephelomys_albigularis,1143,EU579505.1
Niviventer_confucianus,1143,HQ225811.1
Nomascus_leucogenys,1140,GU321259.1
Nyctalus_noctula,1117,AJ841967
Nyctereutes_procyonoides,396,AF028149.1
Nycteris_gambiensis,NA,NA
Nycteris_nana,NA,NA
Nycteris_thebaica,402,AF044653.1
Nycticebus_coucang,1140,U53580
Nycticeius_humeralis,528,L19727.1
Nyctinomops_femorosaccus,460,GQ424042.1
Nyctinomops_laticaudatus,528,L19729.1
Nyctinomops_macrotis,460,GQ424037.1
Odobenus_rosmarus,1140,GU174611.1
Odocoileus_hemionus,1143,AF091630
Odocoileus_virginianus,1140,AY607035
Oecomys_bicolor,801,JQ312123.1
Oecomys_paricola,801,HM594592.1
Oligoryzomys_chacoensis,1143,EU258543.1
Oligoryzomys_flavescens,1196,GU185925.1
Oligoryzomys_fornesi,1194,GU185917.1
Oligoryzomys_fulvescens,1143,GU393997.1
Oligoryzomys_longicaudatus,975,U03535
Oligoryzomys_microtis,1143,EU258549.1
Oligoryzomys_nigripes,1143,EU258551
Ondatra_zibethicus,1143,AF119277
Onychomys_leucogaster,1143,AY195794.1
Onychomys_torridus,1140,AY275110
Orcinus_orca,1140,X92528
Oreamnos_americanus,1140,AF190632
Ornithorhynchus_anatinus,1936,HQ379928.1
Oryctolagus_cuniculus,1140,U07566
Oryx_beisa,NA,NA
Oryx_gazella,1140,AF249973
Oryx_leucoryx,1143,AF036286.1
Oryzomys_couesi,1143,EU074666.1
Oryzomys_palustris,1143,EU074637.1
Otocyon_megalotis,383,AF028150.1
Otomys_irroratus,1137,FJ619538.1
Otomys_tropicalis,1140,JF796008.1
Ourebia_ourebi,1140,AF320574
Ovibos_moschatus,1140,AY669322
Ovis_aries,1140,EU365990
Ovis_canadensis,1140,HM222706
Ovis_dalli,1140,U17860.1
Ovis_orientalis,1140,EU366073.1
Oxymycterus_rufus,1140,AY275126.1
Ozotoceros_bezoarticus,NA,NA
Pagophilus_groenlandicus,1140,GU174609.1
Paguma_larvata,1140,AB511057.1
Pan_paniscus,380,AY550983
Pan_troglodytes,1140,X93338
Panthera_leo,1140,DQ022303
Panthera_onca,1140,HM107682.1
Panthera_pardus,796,EF056507.1
Papio_anubis,1141,EU885461.1
Papio_cynocephalus,1140,GQ148711
Papio_hamadryas,1141,EU885446
Papio_papio,1141,EU885463
Papio_ursinus,1140,GQ398085.1
Pecari_tajacu,1140,JF489135.1
Pedetes_capensis,714,U59177
Pelomys_isseli,NA,NA
Perameles_nasuta,1146,M99466
Perognathus_parvus,1140,AY926407.1
Peromyscus_attwateri,1143,AF155385.1 
Peromyscus_boylii,1143,DQ000478
Peromyscus_californicus,1143,FJ716218.1
Peromyscus_eremicus,1143,DQ973100
Peromyscus_gossypinus,1143,FJ214686
Peromyscus_leucopus,1143,DQ973104
Peromyscus_maniculatus,1143,DQ000484
Peromyscus_megalops,1143,DQ861377.1
Peromyscus_melanophrys,1143,DQ973105.1
Peromyscus_melanotis,1143,AF155398.1
Peromyscus_mexicanus,1143,EF028174
Peromyscus_truei,1143,HQ269735.1
Phacochoerus_aethiopicus,1140,AJ314551
Phacochoerus_africanus,1140,AY534301.1
Philander_opossum,828,AJ628367
Philantomba_monticola,1140,JF728781.1
Philetor_brachypterus,NA,NA
Phoca_vitulina,1140,AB510408.1
Phocoena_phocoena,1140,EF093010.1
Phocoena_spinipinnis,NA,NA
Phocoenoides_dalli,578,U09679
Phyllostomus_discolor,434,HM470153.1
Phyllostomus_hastatus,1140,FJ155479
Phyllotis_darwini,1144,AY956729.1
Physeter_macrocephalus,1140,AF304073.1
Pipistrellus_abramus,1140,AB085739.2
Pipistrellus_ceylonicus,NA,NA
Pipistrellus_hesperus,400,DQ421824.1
Pipistrellus_kuhlii,1140,AJ504445.1
Pipistrellus_nathusii,1140,AJ504446.1
Pipistrellus_pipistrellus,1140,AJ504443.1
Pipistrellus_subflavus,1140,AJ504449.1
Pithecia_monachus,1137,FJ531668
Pithecia_pithecia,NA,NA
Platyrrhinus_helleri,1140,DQ312409
Platyrrhinus_lineatus,1140,FJ154156.1
Plecotus_auritus,1140,AY665169.1
Pongo_abelii,1140,U38274
Pongo_pygmaeus,1140,X97717
Potamochoerus_porcus,1140,GQ338967.1
Potos_flavus,1140,EF107705.1
Praomys_jacksoni,1140,EU349778
Presbytis_melalophos,573,AY519450.1
Prionailurus_bengalensis,1140,AB194818.1
Procapra_gutturosa,402,DQ001162.1
Procolobus_badius,1140,AF294625
Procolobus_rufomitratus,1140,AF294625.1
Procyon_lotor,1140,GU175439
Proechimys_guairae,NA,NA
Proechimys_guyannensis,1140,AY206610.1
Proechimys_longicaudatus,NA,NA
Proechimys_semispinosus,NA,NA
Proteles_cristata,1140,AY928679.1
Pseudalopex_gymnocercus,383,AF028153.1
Pseudalopex_vetulus,383,AF028148.1
Pseudois_nayaur,1140,JN839984.1
Pteronotus_davyi,1140,AF338671.1
Pteronotus_parnellii,1140,AY604456.1
Pteropus_admiralitatum,NA,NA
Pteropus_alecto,311,DQ019615
Pteropus_capistratus,NA,NA
Pteropus_conspicillatus,1140,FJ561380
Pteropus_giganteus,1134,FJ561381.1
Pteropus_hypomelanus,1140,AB062472
Pteropus_lylei,1140,EF584229
Pteropus_neohibernicus,NA,NA
Pteropus_poliocephalus,1140,FJ561387
Pteropus_rufus,1140,AB085732.1
Pteropus_scapulatus,1140,FJ561377
Pteropus_vampyrus,1140,EF584230
Pudu_puda,1113,DQ379309.1
Puma_concolor,1140,AY598487.1
Puma_yagouaroundi,307,AY886751.1
Pusa_caspica,1140,GU167295.1
Pusa_hispida,1140,AY140976.1
Pusa_sibirica,1140,AY140977.1
Pygathrix_nemaeus,1140,AF295582.1
Rangifer_tarandus,1200,DQ673132
Raphicerus_sharpei,1140,AF022050.1
Rattus_exulans,1137,DQ191486.1
Rattus_fuscipes,713,EF186439.1
Rattus_losea,1142,HM031709.1
Rattus_norvegicus,1143,HM222710
Rattus_rattus,1140,AB033702
Rattus_tanezumi,1143,KC470016.1
Rattus_tiomanicus,1143,FR775865.1
Redunca_arundinum,1140,AF096628
Redunca_fulvorufula,1140,AF036284
Reithrodontomys_fulvescens,1143,HQ269730.1
Reithrodontomys_megalotis,1144,AF108707
Reithrodontomys_mexicanus,1143,HQ269734.1
Rhabdomys_pumilio,1140,AF533083
Rhinolophus_affinis,1140,EF544420.1
Rhinolophus_blasii,1140,EU436669.1
Rhinolophus_eloquens,1140,EU436677.1
Rhinolophus_euryale,1140,EU436671.1
Rhinolophus_ferrumequinum,1140,EU434936
Rhinolophus_hildebrandti,1126,EU436676.1
Rhinolophus_lepidus,639,FJ185202.1
Rhinolophus_macrotis,1140,EU434957.1
Rhinolophus_mehelyi,1140,EU436672.1
Rhinolophus_pearsonii,1140,DQ297587.1
Rhinolophus_pusillus,1140,EF544425.1
Rhinolophus_rouxii,1140,JQ316214.1 
Rhinolophus_sinicus,1140,HM134917.1
Rhinophylla_pumilio,1140,DQ312397.1
Rhogeessa_parvula,1136,EF222355.1
Rhombomys_opimus,1140,AJ430556.1
Rhynchonycteris_naso,1140,EF584191.1
Rousettus_aegyptiacus,1140,JF728760.1
Rousettus_amplexicaudatus,1140,AB046329.1
Rousettus_leschenaultii,1140,EU434956.1
Rousettus_madagascariensis,1140,JN398214.1
Rucervus_eldii,1140,EU878390.1
Rupicapra_pyrenaica,1143,AF034726.1 
Rupicapra_rupicapra,1143,AF034725.1
Rusa_unicolor,1117,FJ556575.1
Saccolaimus_flaviventris,154,GQ375754.1
Saccolaimus_saccolaimus,1140,AB444718.1
Saguinus_geoffroyi,322,AF001931.1
Saguinus_labiatus,1140,HM367997.1 
Saguinus_midas,1140,AJ489760.1
Saguinus_mystax,1140,HM368073.1
Saguinus_nigricollis,1140,HM368075.1
Saguinus_oedipus,1143,FJ785424.1
Saiga_tatarica,1143,AF064487.1
Saimiri_oerstedii,1140,EU232702.1
Saimiri_sciureus,1140,U38273
Sciurus_carolinensis,358,AY509680
Sciurus_carolinensis,1140,FJ200744.1
Sciurus_granatensis,NA,NA
Sciurus_griseus,NA,NA
Sciurus_niger,1140,U10180
Sciurus_variegatoides,NA,NA
Sciurus_vulgaris,1140,JQ395054.1 
Scotophilus_kuhlii,1140,EU750931
Scotophilus_nigrita,1140,EU750955.1
Semnopithecus_entellus,1140,AF293959
Setonix_brachyurus,430,AY099269.1
Sigmodon_alstoni,1143,AF293397
Sigmodon_hispidus,1143,EU293757
Sigmodon_toltecus,1143,AF425228.1
Sooretamys_angouya,1143,EU579512.1
Sorex_araneus,1140,HQ008361.1
Spermophilus_beecheyi,1140,AF157919
Spermophilus_citellus,1140,AF157863.1 
Spermophilus_columbianus,1140,JF314509.1
Spermophilus_fulvus,1140,AF157913.1
Spermophilus_lateralis,1140,AF157887
Spermophilus_parryii,1140,AF157931.1
Spermophilus_richardsonii,1140,AF157915
Spermophilus_tridecemlineatus,1140,JX047306.1
Spermophilus_undulatus,1140,AF157912.1
Spermophilus_variegatus,1140,AF157878.1
Sphiggurus_melanurus,NA,NA
Stenella_coeruleoalba,1140,AF084081.1
Sturnira_lilium,1140,DQ312398
Sturnira_ludovici,775,AF435160.1
Sturnira_tildae,775,AF435199.1
Suncus_murinus,1140,GQ290380
Suricata_suricatta,1140,AY170111
