,vVirusNameCorrected,IsHoSa.stringent,IsHoSa,seq,vNum,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vPubMedCites,vWOKcites,vICTVnumber,vDNAoRNA,vSSoDS,vSegmented01,vSegmentedTF,vCytoReplic01,vCytoReplicTF,vVectorYNna,vBrdth.medianPD.cytb,vBrdth.meanPD.cytb,vBrdth.minPD.cytb,vBrdth.maxPD.cytb,vBrdth.iqrPD.cytb,vBrdth.sdPD.cytb,vBrdth.medianPD.ST,vBrdth.meanPD.ST,vBrdth.minPD.ST,vBrdth.maxPD.ST,vBrdth.iqrPD.ST,vBrdth.sdPD.ST,vBrdth.medianPD.ST.stringent,vBrdth.meanPD.ST.stringent,vBrdth.minPD.ST.stringent,vBrdth.maxPD.ST.stringent,vBrdth.iqrPD.ST.stringent,vBrdth.sdPD.ST.stringent,vBrdth.medianPD.cytb.stringent,vBrdth.meanPD.cytb.stringent,vBrdth.minPD.cytb.stringent,vBrdth.maxPD.cytb.stringent,vBrdth.iqrPD.cytb.stringent,vBrdth.sdPD.cytb.stringent,NumHosts,IsZoonotic,NumHosts.stringent,IsZoonotic.stringent,vEnvelope
11,Alcelaphine_herpesvirus_1,0,0,11,571,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,0,NA,NA,130608,88,102,,DNA,DS,0,FALSE,0,FALSE,N,0.284949249,0.285260362,0.224772829,0.366935853,0.068036589,0.049844909,53.2,51.1,40.4,53.4,1.45,5.245569559,53.2,51.1,40.4,53.4,1.45,5.245569559,0.284949249,0.285260362,0.224772829,0.366935853,0.068036589,0.049844909,4,0,4,0,enveloped
12,Alcelaphine_herpesvirus_2,0,0,12,429,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,0,NA,NA,135000,3,2,,DNA,DS,0,FALSE,0,FALSE,N,0.209266252,0.177752816,0.112440694,0.211551503,0.082592341,0.056573497,39.9,38.76666667,29.4,43.6,7.966666667,5.847962608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,enveloped
13,Aleutian_mink_disease_virus,0,1,13,267,Unassigned,Parvoviridae,Parvovirinae,Amdovirus,1,NA,NA,4801,195,204,,DNA,SS,0,FALSE,0,FALSE,NA,0.44978978,0.441399838,0.168139897,0.712653926,0.497617812,0.274390473,122.1,117.8333333,26.2,192.4,142.7333333,82.21682715,51.8,43.26666667,26.2,51.8,21.33333333,14.78016689,0.187335563,0.191591622,0.168139897,0.219299407,0.042632925,0.025843943,4,1,3,0,non-enveloped
14,Allpaahuayo_virus,0,0,14,30,Unassigned,Arenaviridae,,Arenavirus,0,NA,NA,10435,1,1,,RNA,SS,1,TRUE,1,TRUE,N,0.128827383,0.128827383,0.128827383,0.128827383,0,NA,8.8,8.8,8.8,8.8,0,NA,8.8,8.8,8.8,8.8,0,NA,0.128827383,0.128827383,0.128827383,0.128827383,0,NA,2,0,2,0,enveloped
15,Amapari_virus,0,0,15,31,Unassigned,Arenaviridae,,Arenavirus,0,NA,NA,10387,5,9,00.003.0.01.007.,RNA,SS,1,TRUE,1,TRUE,N,0.450087566,0.394081462,0.123827007,0.556926211,0.191548525,0.118566305,76.4,54.77142857,12.4,76.4,43.8,24.98098324,32.6,25.86666667,12.4,32.6,16.83333333,11.66247544,0.328363725,0.301626651,0.225597402,0.350918824,0.104434518,0.066802081,8,0,3,0,enveloped
16,Andes_virus,1,1,16,62,Unassigned,Bunyaviridae,,Hantavirus,0,NA,NA,10233,95,157,00.011.0.02.,RNA,SS,1,TRUE,1,TRUE,N,0.42735208,0.439868975,0.021104556,0.877599404,0.165102453,0.17520171,32.6,49.72877493,4.6,183.8,7.11E-15,44.84129791,32.6,62.21833333,4.6,183.8,63.4,54.2443522,0.442039304,0.467639627,0.057384587,0.866599801,0.193982009,0.201705497,27,1,16,1,enveloped
17,Anopheles_A_virus,1,1,17,78,Unassigned,Bunyaviridae,,Orthobunyavirus,0,12300,12450,12375,5,13,00.011.0.01.005.,RNA,SS,1,TRUE,1,TRUE,Y,0.636987555,0.636987555,0.636987555,0.636987555,0,NA,192.4,192.4,192.4,192.4,0,NA,192.4,192.4,192.4,192.4,0,NA,0.636987555,0.636987555,0.636987555,0.636987555,0,NA,2,1,2,1,enveloped
18,Anopheles_B_virus,0,0,18,79,Unassigned,Bunyaviridae,,Orthobunyavirus,0,12300,12450,12375,5,13,00.011.0.01.006.,RNA,SS,1,TRUE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
19,Apoi_virus,0,0,19,474,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,10116,1,2,,RNA,SS,0,FALSE,1,TRUE,Y,0.217778531,0.217778531,0.217778531,0.217778531,0,NA,22.4,22.4,22.4,22.4,0,NA,22.4,22.4,22.4,22.4,0,NA,0.217778531,0.217778531,0.217778531,0.217778531,0,NA,2,0,2,0,enveloped
20,Araguari_virus,0,0,20,475,Unassigned,Unassigned,,Unassigned,0,NA,NA,NA,2,2,,RNA,SS,0,FALSE,0,FALSE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
21,Aravan_virus,0,0,21,349,Mononegavirales,Rhabdoviridae,,Lyssavirus,Tentative in genus,NA,NA,11918,4,10,,RNA,SS,0,FALSE,1,TRUE,N,0.015947448,0.015947448,0.015947448,0.015947448,0,NA,142.4,98.26666667,10,142.4,110.3333333,76.44117564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,enveloped
22,Arctic_squirrel_hepatitis_virus,0,0,22,572,Unassigned,Hepadnaviridae,,Orthohepadnavirus,Tentative in genus,NA,NA,3302,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
23,Aroa_virus,1,1,23,154,Unassigned,Flaviviridae,,Flavivirus,0,1032,NA,NA,0,1,,RNA,SS,0,FALSE,1,TRUE,Y,0.824676355,0.824676355,0.824676355,0.824676355,0,NA,183.8,183.8,183.8,183.8,0,NA,183.8,183.8,183.8,183.8,0,NA,0.824676355,0.824676355,0.824676355,0.824676355,0,NA,2,1,2,1,enveloped
24,Arumowot_virus,0,0,24,573,Unassigned,Bunyaviridae,,Phlebovirus,Tentative in genus,NA,NA,12262,2,1,,RNA,SS,1,TRUE,1,TRUE,Y,0.576219877,0.511462586,0.320599809,0.637568073,0.26414022,0.168114099,77.4,77.4,58.8,96,37.2,20.37527914,77.4,77.4,58.8,96,37.2,20.37527914,0.576219877,0.511462586,0.320599809,0.637568073,0.26414022,0.168114099,4,0,4,0,enveloped
25,Ateline_herpesvirus_1,0,0,25,399,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,NA,NA,NA,0,0,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
26,Ateline_herpesvirus_2,0,0,26,209,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,0,NA,NA,112000,2,7,00.031.3.02.002.,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
27,Aura_virus,0,1,27,373,Unassigned,Togaviridae,,Alphavirus,0,NA,NA,11824,13,18,00.073.0.01.002.,RNA,SS,0,FALSE,1,TRUE,Y,0.636987555,0.636987555,0.636987555,0.636987555,0,NA,192.4,192.4,192.4,192.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,0,enveloped
28,Australian_bat_lyssavirus,1,1,28,350,Mononegavirales,Rhabdoviridae,,Lyssavirus,0,NA,NA,11822,59,75,01.062.0.02.,RNA,SS,0,FALSE,1,TRUE,N,0.516070572,0.463054496,0.059795245,0.881400953,0.34302658,0.204102448,142.4,116.2895238,25.4,192.4,93.8,55.37633472,142.4,117.7904762,25.4,192.4,167,69.85514945,0.512226836,0.458393023,0.079509475,0.843178764,0.472091199,0.236888527,15,1,7,1,enveloped
29,Baboon_orthoreovirus,0,0,29,476,Unassigned,Reoviridae,,Orthoreovirus,0,887,3903,2395,0,0,,RNA,DS,1,TRUE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
30,Baboon_polyomavirus_2,0,0,30,477,Unassigned,Polyomaviridae,,Polyomavirus,,NA,NA,NA,0,0,,DNA,DS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,non-enveloped
31,Bakau_virus,0,0,31,80,Unassigned,Bunyaviridae,,Orthobunyavirus,0,12300,12450,12375,3,1,00.011.0.01.007.,RNA,SS,1,TRUE,1,TRUE,Y,0.75072838,0.66871803,0.241432004,0.954956109,0.520858012,0.261890253,183.8,141.84,13,183.8,115.6333333,67.03560674,40.4,40.4,40.4,40.4,0,NA,0.375349795,0.375349795,0.375349795,0.375349795,0,NA,6,0,2,0,enveloped
32,Bangui_virus,1,1,32,115,Unassigned,Bunyaviridae,,Unassigned,0,NA,NA,NA,0,1,,RNA,SS,1,TRUE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
33,Banna_virus,1,1,33,322,Unassigned,Reoviridae,Sedoreovirinae,Seadornavirus,1,12300,12450,12375,22,34,,RNA,DS,1,TRUE,1,TRUE,Y,0.671770443,0.573982441,0.367524744,0.682652136,0.26260616,0.178880374,192.4,172,131.2,192.4,51,35.33383647,192.4,172,131.2,192.4,51,35.33383647,0.671770443,0.573982441,0.367524744,0.682652136,0.26260616,0.178880374,3,1,3,1,non-enveloped
34,Banzi_virus,1,1,34,155,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,10182,22,48,,RNA,SS,0,FALSE,1,TRUE,Y,0.712745497,0.712745497,0.712745497,0.712745497,0,NA,183.8,183.8,183.8,183.8,0,NA,183.8,183.8,183.8,183.8,0,NA,0.712745497,0.712745497,0.712745497,0.712745497,0,NA,2,1,2,1,enveloped
35,Barmah_Forest_virus,1,1,35,374,Unassigned,Togaviridae,,Alphavirus,0,NA,NA,11488,65,118,00.073.0.01.004.,RNA,SS,0,FALSE,1,TRUE,Y,0.647806778,0.634392376,0.408719759,0.78581639,0.252008786,0.126915967,192.4,222.38,128.2,294.2,123.4,64.56668904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,enveloped
36,Barur_virus,0,0,36,574,Mononegavirales,Rhabdoviridae,,Unassigned,0,NA,NA,NA,2,1,,RNA,SS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
37,Bayou_virus,1,1,37,63,Unassigned,Bunyaviridae,,Hantavirus,0,3677,NA,NA,8,13,,RNA,SS,1,TRUE,1,TRUE,N,0.485599854,0.521164075,0.274236302,0.80769032,0.262649594,0.179197481,76.4,104.2533333,44,183.8,130.7333333,59.52375116,183.8,183.8,183.8,183.8,0,NA,0.80769032,0.80769032,0.80769032,0.80769032,0,NA,6,1,2,1,enveloped
38,Bear_Canyon_virus,0,0,38,32,Unassigned,Arenaviridae,,Arenavirus,0,NA,NA,10441,2,2,,RNA,SS,1,TRUE,1,TRUE,N,0.368825756,0.368825756,0.368825756,0.368825756,0,NA,52.2,52.2,52.2,52.2,0,NA,52.2,52.2,52.2,52.2,0,NA,0.368825756,0.368825756,0.368825756,0.368825756,0,NA,2,0,2,0,enveloped
39,Bebaru_virus,1,1,39,375,Unassigned,Togaviridae,,Alphavirus,0,NA,NA,11700,3,3,00.073.0.01.005.,RNA,SS,0,FALSE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
40,Berrimah_virus,0,0,40,478,Mononegavirales,Rhabdoviridae,,Ephemerovirus,0,NA,NA,15024,2,2,,RNA,SS,0,FALSE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
41,Bhanja_virus,0,1,41,123,Unassigned,Bunyaviridae,,Unassigned,0,10500,22700,16600,43,68,00.011.0.00.104.,RNA,SS,1,TRUE,1,TRUE,Y,0.653637047,0.570174647,0.12162044,0.745670829,0.165007191,0.227676395,192.4,171.96,27.4,192.4,15.4,51.20258674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,0,enveloped
42,Bimiti_virus,0,0,42,81,Unassigned,Bunyaviridae,,Orthobunyavirus,0,NA,NA,NA,3,5,,RNA,SS,1,TRUE,1,TRUE,Y,0.796266945,0.698842616,0.261993579,0.987224819,0.385417676,0.221812584,192.4,155.55,32.6,192.4,71.6,50.98072185,160.4,139.8333333,32.6,164.8,19.08333333,52.7099864,0.889350628,0.808378203,0.339432011,0.987224819,0.202444469,0.242397909,9,0,4,0,enveloped
43,Bivens_Arm_virus,0,0,43,479,Mononegavirales,Rhabdoviridae,,Unassigned,0,NA,NA,NA,2,2,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,enveloped
44,BK_polyomavirus,1,1,44,287,Unassigned,Polyomaviridae,,Polyomavirus,0,5133,5380,5256.5,110,148,,DNA,DS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
45,Black_Creek_Canal_virus,1,1,45,64,Unassigned,Bunyaviridae,,Hantavirus,0,NA,NA,6067,12,15,,RNA,SS,1,TRUE,1,TRUE,N,0.801486624,0.801486624,0.801486624,0.801486624,0,NA,183.8,183.8,183.8,183.8,0,NA,183.8,183.8,183.8,183.8,0,NA,0.801486624,0.801486624,0.801486624,0.801486624,0,NA,2,1,2,1,enveloped
46,Bluetongue_virus,0,0,46,307,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,1,NA,NA,19200,1789,2679,00.060.0.02.001.,RNA,DS,1,TRUE,1,TRUE,Y,0.32594906,0.399816635,0.009249912,0.915672818,0.278219333,0.186787565,53.6,104.2461202,2.6,197.8,127.2,64.85191184,192.4,127.1866667,43.6,192.4,139,72.22308561,0.621675082,0.511950371,0.270200549,0.739886153,0.381747484,0.194242193,61,0,6,0,non-enveloped
47,Border_disease_virus,0,0,47,480,Unassigned,Flaviviridae,,Pestivirus,0,NA,NA,12333,252,306,,RNA,SS,0,FALSE,1,TRUE,N,0.272852917,0.269263847,0.11065099,0.430543438,0.166353126,0.108427007,53,77.12,27.4,131.2,101.2,47.55882439,53,77.12,27.4,131.2,101.2,47.55882439,0.272852917,0.269263847,0.11065099,0.430543438,0.166353126,0.108427007,5,0,5,0,enveloped
48,Borna_disease_virus,0,1,48,61,Mononegavirales,Bornaviridae,,Bornavirus,1,NA,NA,8910,718,1038,01.081.0.01.001.,RNA,SS,0,FALSE,0,FALSE,N,0.566728456,0.561554658,0.082215678,0.849241618,0.17938665,0.137671569,180.9,172.0757895,14,197.4,21.6,34.95468485,170.8,164.1406593,14,192.4,21.8,37.31962242,0.526521297,0.53071564,0.082215678,0.807756979,0.17123855,0.148875846,20,1,14,0,enveloped
49,Bouboui_virus,1,1,49,156,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,NA,2,3,,RNA,SS,0,FALSE,1,TRUE,Y,0.404624129,0.404624129,0.404624129,0.404624129,0,NA,70.6,70.6,70.6,70.6,0,NA,70.6,70.6,70.6,70.6,0,NA,0.404624129,0.404624129,0.404624129,0.404624129,0,NA,2,1,2,1,enveloped
50,Bovine_adenovirus_A,0,0,50,6,Unassigned,Adenoviridae,,Mastadenovirus,0,NA,NA,34185,2,393,00.001.0.01.002.,DNA,DS,0,FALSE,0,FALSE,N,0.228036157,0.228036157,0.228036157,0.228036157,0,NA,53.4,53.4,53.4,53.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,non-enveloped
51,Bovine_adenovirus_B,0,0,51,7,Unassigned,Adenoviridae,,Mastadenovirus,0,NA,NA,34446,1,5,00.001.0.01.003.,DNA,DS,0,FALSE,0,FALSE,N,0.234246544,0.234246544,0.234246544,0.234246544,0,NA,53,53,53,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,non-enveloped
52,Bovine_adenovirus_C,0,0,52,8,Unassigned,Adenoviridae,,Mastadenovirus,0,NA,NA,NA,1,1,00.001.0.01.004.,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
53,Bovine_adenovirus_D,0,0,53,1,Unassigned,Adenoviridae,,Atadenovirus,0,NA,NA,31301,1,1,00.001.0.03.003.,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
54,Bovine_adenovirus_E,0,0,54,2,Unassigned,Adenoviridae,,Atadenovirus,Tentative in genus,NA,NA,NA,2,2,00.001.0.03.004.,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
55,Bovine_astrovirus,0,0,55,56,Unassigned,Astroviridae,,Mamastrovirus,0,NA,NA,NA,7,6,00.005.0.01.002.,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
56,Bovine_coronavirus,0,0,56,140,Nidovirales,Coronaviridae,,Coronavirus,0,NA,NA,31028,408,599,03.019.0.01.002.,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
57,Bovine_enteric_calicivirus_strain_NB,0,0,57,482,Unassigned,Caliciviridae,,Unassigned,0,NA,NA,NA,0,0,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
58,Bovine_ephemeral_fever_virus,0,0,58,348,Mononegavirales,Rhabdoviridae,,Ephemerovirus,1,NA,NA,14900,96,162,01.062.0.03.001.,RNA,SS,0,FALSE,1,TRUE,Y,0.237842731,0.232417896,0.102725312,0.293888434,0.056957704,0.05237051,53,48.46666667,24,53.4,8.233333333,8.948955778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,0,enveloped
59,Bovine_foamy_virus,0,0,59,441,Unassigned,Retroviridae,Spumaretrovirinae,Spumavirus,0,NA,NA,12002,20,20,,RNA,SS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
60,Bovine_herpesvirus_1,0,0,60,405,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,140000,2065,1317,,DNA,DS,0,FALSE,0,FALSE,N,0.258528303,0.250803032,0.074367015,0.377648333,0.084700055,0.062996222,53,45.97058824,7.8,53.4,9.8,12.35505665,53.4,47.02857143,11,53.4,6.266666667,12.33438863,0.278090727,0.266821869,0.12162044,0.377648333,0.085121672,0.063812781,17,0,7,0,enveloped
61,Bovine_herpesvirus_2,0,0,61,400,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,NA,NA,133000,132,37,,DNA,DS,0,FALSE,0,FALSE,N,0.290195367,0.381274314,0.158302024,0.87404214,0.094861008,0.229505692,53.4,78.70666667,25.6,197.8,0.4,60.61883296,53.4,46.98,25.6,53.4,18,10.58739292,0.292362034,0.292016407,0.210777006,0.377648333,0.056914884,0.054494657,10,0,5,0,enveloped
62,Bovine_herpesvirus_4,0,0,62,430,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,0,NA,NA,145000,163,168,,DNA,DS,0,FALSE,0,FALSE,N,0.278090727,0.26857553,0.12162044,0.377648333,0.085827831,0.065604557,53.4,47.36,25.6,53.4,15.06666667,10.52186838,53.4,47.36,25.6,53.4,15.06666667,10.52186838,0.278090727,0.26857553,0.12162044,0.377648333,0.085827831,0.065604557,6,0,6,0,enveloped
63,Bovine_herpesvirus_5,0,0,63,406,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,140000,85,78,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
64,Bovine_immunodeficiency_virus,0,0,64,335,Unassigned,Retroviridae,Orthoretrovirinae,Lentivirus,0,NA,NA,8482,236,327,00.061.1.06.002.,RNA,SS,0,FALSE,0,FALSE,N,0.197599436,0.197599436,0.197599436,0.197599436,0,NA,37.2,37.2,37.2,37.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,0,enveloped
